
RECORDING STARTED
Push robot forward, then release.
Let it oscillate until it settles.

time_ms,pitch,pitchRate,angularAccel,accelPitch
1707,0.503,25.717,765.373,-12.730
1712,0.316,22.762,-657.073,-13.876
1716,0.148,24.694,427.279,-13.574
1721,-0.027,23.404,-285.921,-13.763
1726,-0.190,22.121,-282.228,-13.113
1730,-0.352,22.831,156.233,-13.332
1735,-0.529,21.442,-305.747,-14.003
1739,-0.707,21.068,-82.607,-14.090
1743,-0.886,20.419,-144.704,-14.155
1748,-1.058,19.511,-200.264,-13.816
1752,-1.257,18.900,-134.040,-15.209
1757,-1.457,15.877,-667.602,-14.811
1762,-1.640,16.999,246.299,-14.408
1767,-1.838,17.991,219.744,-15.481
1771,-2.042,15.976,-443.501,-15.600
1775,-2.247,14.633,-296.450,-15.548
1780,-2.439,13.312,-290.372,-14.839
1784,-2.659,11.045,-496.752,-15.919
1789,-2.858,12.915,411.220,-15.454
1793,-3.062,9.648,-719.009,-15.238
1798,-3.265,7.564,-463.104,-14.870
1803,-3.466,11.503,872.217,-15.858
1807,-3.692,9.549,-431.581,-16.870
1812,-3.904,6.816,-605.679,-15.821
1816,-4.100,7.610,175.796,-15.377
1821,-4.313,6.411,-267.278,-16.130
1825,-4.533,5.862,-121.705,-16.634
1829,-4.751,4.114,-388.465,-16.342
1834,-4.962,4.511,87.898,-16.273
1838,-5.168,4.091,-93.884,-16.184
1843,-5.359,4.686,133.263,-15.718
1848,-5.560,1.938,-610.687,-15.858
1852,-5.759,3.167,273.113,-16.217
1857,-5.989,-3.047,-1379.605,-16.604
1861,-6.212,-0.780,497.624,-16.925
1866,-6.436,-3.459,-593.836,-16.654
1870,-6.642,-0.970,548.622,-16.549
1874,-6.870,-4.688,-827.595,-17.008
1879,-7.100,-3.085,355.602,-17.656
1883,-7.317,-6.100,-670.059,-16.604
1889,-7.543,-7.696,-353.595,-16.917
1893,-7.757,-7.474,48.804,-16.620
1897,-7.981,-7.184,65.156,-17.351
1902,-8.212,-8.749,-349.617,-17.625
1906,-8.431,-8.169,127.787,-17.359
1911,-8.651,-8.909,-164.546,-17.449
1915,-8.879,-10.428,-336.676,-17.765
1920,-9.098,-12.077,-361.591,-17.109
1924,-9.311,-13.062,-216.140,-16.849
1928,-9.521,-13.177,-25.133,-16.855
1934,-9.715,-16.230,-673.750,-15.603
1938,-9.900,-14.558,365.971,-15.728
1943,-10.101,-17.726,-697.784,-15.984
1947,-10.314,-18.596,-189.016,-16.576
1952,-10.496,-16.856,378.361,-15.610
1956,-10.681,-19.062,-480.006,-15.443
1961,-10.880,-20.535,-321.397,-16.037
1965,-11.086,-21.566,-223.640,-16.285
1970,-11.276,-19.230,508.684,-16.266
1975,-11.461,-18.940,63.115,-16.290
1980,-11.656,-20.856,-420.921,-16.561
1984,-11.875,-24.558,-802.751,-17.042
1989,-12.058,-24.001,121.037,-15.626
1993,-12.223,-21.543,538.094,-15.479
1998,-12.409,-24.352,-612.285,-16.022
2002,-12.593,-26.215,-403.858,-15.680
2007,-12.761,-26.993,-168.973,-14.921
2011,-12.916,-26.894,21.535,-14.422
2017,-13.069,-27.879,-215.950,-14.351
2021,-13.216,-29.665,-388.317,-13.747
2026,-13.334,-27.131,549.989,-12.988
2030,-13.466,-30.352,-700.908,-13.093
2034,-13.602,-27.543,611.751,-14.043
2039,-13.734,-28.764,-265.747,-13.724
2043,-13.867,-30.062,-281.621,-13.630
2048,-13.984,-30.719,-142.715,-12.772
2052,-14.131,-35.138,-958.336,-13.381
2057,-14.246,-33.955,256.327,-12.203
2062,-14.356,-30.795,688.220,-12.808
2067,-14.458,-31.642,-184.845,-12.392
2071,-14.561,-32.207,-122.376,-12.317
2076,-14.666,-32.886,-147.436,-12.385
2080,-14.753,-33.459,-124.353,-11.459
2085,-14.840,-34.276,-177.256,-11.337
2089,-14.935,-36.657,-515.962,-11.343
2094,-15.023,-37.795,-247.047,-10.779
2098,-15.100,-36.054,378.361,-10.748
2104,-15.155,-34.841,265.009,-10.054
2108,-15.210,-37.886,-665.023,-9.373
2113,-15.260,-39.642,-384.690,-8.865
2117,-15.305,-36.482,691.836,-9.354
2122,-15.336,-34.963,334.599,-9.080
2126,-15.369,-39.932,-1094.595,-8.106
2131,-15.414,-40.909,-211.860,-8.367
2135,-15.456,-41.909,-219.298,-8.138
2140,-15.458,-37.337,1004.507,-7.247
2145,-15.478,-39.474,-464.652,-7.536
2150,-15.482,-36.596,629.453,-7.494
2154,-15.494,-40.329,-818.601,-7.043
2158,-15.504,-39.925,88.801,-7.114
2163,-15.500,-39.902,5.075,-6.466
2167,-15.492,-36.444,776.733,-7.157
2172,-15.474,-40.169,-816.927,-5.608
2176,-15.474,-41.932,-386.363,-6.076
2181,-15.467,-40.154,390.049,-6.197
2185,-15.462,-40.406,-55.340,-6.197
2190,-15.440,-38.940,324.833,-5.758
2195,-15.440,-41.596,-584.615,-6.168
2199,-15.440,-42.665,-233.954,-5.863
2204,-15.423,-42.673,-1.671,-5.066
2208,-15.406,-43.138,-103.662,-5.063
2213,-15.368,-42.283,187.656,-4.064
2217,-15.334,-41.115,257.255,-4.551
2221,-15.273,-41.260,-31.863,-3.083
2226,-15.221,-41.123,30.507,-3.582
2231,-15.160,-39.902,270.455,-3.321
2236,-15.095,-42.360,-539.986,-2.457
2240,-15.009,-38.077,941.610,-2.333
2245,-14.938,-39.001,-203.630,-2.770
2249,-14.882,-43.322,-950.838,-2.511
2253,-14.803,-41.070,494.273,-1.750
2258,-14.711,-38.688,525.525,-1.621
2262,-14.620,-38.551,30.159,-1.562
2267,-14.516,-37.902,143.934,-1.061
2272,-14.430,-39.024,-246.082,-1.493
2277,-14.331,-38.093,204.591,-0.976
2281,-14.226,-38.161,-15.119,-0.559
2286,-14.107,-37.459,154.689,0.056
2290,-13.993,-38.741,-283.225,0.167
2294,-13.887,-39.917,-258.254,0.193
2299,-13.752,-36.123,836.396,0.912
2303,-13.639,-37.001,-192.682,0.139
2308,-13.509,-38.604,-353.719,1.457
2312,-13.376,-39.138,-117.285,1.899
2318,-13.241,-38.642,109.003,1.976
